repo,sha,status,n_gt_imported,n_gt_impT,n_gt_all,n_syft,n_trivy,n_cdxgen,n_cyclonedx-gomod,golist_real_errors,golist_progress_lines,error_kinds
0xERR0R__blocky,23575a47721dea7497ee9017274594b64c5fd1f5,OK,128,132,334,231,194,128,188,0,0,""
0xcafed00d__joystick,bcb9018b38b3c62432309954dfd18176871b2658,OK,3,3,3,3,3,3,3,0,0,""
1set__cronrange,b1b61d6744d871d804d274a22ee4c34b3c333fbc,OK,1,1,1,1,2,1,1,0,0,""
1set__starlet,9be5f42dc65ea47b04cc067bc06511713230f840,OK,12,12,25,37,26,23,12,0,0,""
1set__todotxt,f72a2a5d7d18612f886187cf2de241982d64dc19,OK,1,1,1,1,1,1,1,0,0,""
2ykwang__mac-cleanup-go,c2c4734ad60be4c035eb813400d57b25d1770741,OK,25,25,35,29,25,25,25,0,0,""
32leaves__bel,66b16680e6929086857458da3fa411c16d14d871,OK,1,3,9,8,9,1,1,0,0,""
42Atomys__webhooked,161439e7957523249d30a3757dc79cfae3e97f35,OK,26,29,181,48,31,26,27,0,0,""
99designs__gqlgen,95aaeaaf697dae6183231f34776f57c477d676af,OK,18,23,38,75,56,38,19,0,0,""
Ad3bay0c__routex,1b7884da626fd1f2cbb857e6a03ff0160df4a765,OK,33,39,89,54,39,33,33,0,0,""
AfterShip__email-verifier,a3c5c5b59c44425a9b718c7d1aec1f5148bd288f,OK,4,10,22,14,12,4,4,0,0,""
Alejandro-M-P__git-courer,80c84a4944503b302605f15932d6f858bf3dd573,OK,45,49,74,63,52,45,47,0,0,""
AllenDang__cimgui-go,455bafd72aaba5ab0e86d7dafb79ad7ca5424ffd,OK,8,8,30,29,19,15,11,0,0,""
Allenxuxu__gev,d685a7d88775df400d2b0a74d64be3e48f2e90bf,OK,19,23,63,31,63,19,19,0,0,""
Allra-Fintech__mdv,f8df54b87614d9c7b9b49c71b538576f9c3bdcdc,OK,6,6,15,9,6,6,6,0,0,""
Andrew-M-C__go.jsonvalue,6db6f0e27fe6be5269f4929f33bfe8382a65fb47,OK,1,4,10,4,10,1,1,0,0,""
Antonboom__testifylint,720065d36f434c616017441aa8f2069e621b5e44,OK,3,3,8,22,16,15,2,0,0,""
