repo,gt,tool,predicted,tp,fp,fn,precision,recall,f1,precision_ver,recall_ver,f1_ver
cobra,6,syft,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
cobra,6,trivy,6,6,0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
cobra,6,cdxgen,4,4,0,2,1.0000,0.6667,0.8000,1.0000,0.6667,0.8000
cobra,6,cyclonedx-gomod,5,5,0,1,1.0000,0.8333,0.9091,1.0000,0.8333,0.9091
frp,145,syft,83,82,1,63,0.9880,0.5655,0.7193,0.9880,0.5655,0.7193
frp,145,trivy,72,71,1,74,0.9861,0.4897,0.6544,0.9861,0.4897,0.6544
frp,145,cdxgen,73,72,1,73,0.9863,0.4966,0.6606,0.9726,0.4897,0.6514
frp,145,cyclonedx-gomod,69,68,1,77,0.9855,0.4690,0.6355,0.9855,0.4690,0.6355
gin,56,syft,40,40,0,16,1.0000,0.7143,0.8333,1.0000,0.7143,0.8333
gin,56,trivy,35,35,0,21,1.0000,0.6250,0.7692,1.0000,0.6250,0.7692
gin,56,cdxgen,18,18,0,38,1.0000,0.3214,0.4865,1.0000,0.3214,0.4865
gin,56,cyclonedx-gomod,28,28,0,28,1.0000,0.5000,0.6667,1.0000,0.5000,0.6667
gorm,8,syft,29,6,23,2,0.2069,0.7500,0.3243,0.1724,0.6250,0.2703
gorm,8,trivy,29,6,23,2,0.2069,0.7500,0.3243,0.1724,0.6250,0.2703
gorm,8,cdxgen,3,3,0,5,1.0000,0.3750,0.5455,1.0000,0.3750,0.5455
gorm,8,cyclonedx-gomod,3,3,0,5,1.0000,0.3750,0.5455,1.0000,0.3750,0.5455
hugo,436,syft,202,202,0,234,1.0000,0.4633,0.6332,0.9950,0.4610,0.6301
hugo,436,trivy,187,185,2,251,0.9893,0.4243,0.5939,0.9840,0.4220,0.5907
hugo,436,cdxgen,106,106,0,330,1.0000,0.2431,0.3911,1.0000,0.2431,0.3911
hugo,436,cyclonedx-gomod,183,183,0,253,1.0000,0.4197,0.5913,1.0000,0.4197,0.5913
ollama,177,syft,113,113,0,64,1.0000,0.6384,0.7793,0.9912,0.6328,0.7724
ollama,177,trivy,95,95,0,82,1.0000,0.5367,0.6985,0.9895,0.5311,0.6912
ollama,177,cdxgen,71,71,0,106,1.0000,0.4011,0.5726,0.9859,0.3955,0.5645
ollama,177,cyclonedx-gomod,89,89,0,88,1.0000,0.5028,0.6692,1.0000,0.5028,0.6692
