repo,tool,all_n_tp,all_n_fp,all_n_fn,all_v_tp,all_v_fp,all_v_fn,imp_n_tp,imp_n_fp,imp_n_fn,imp_v_tp,imp_v_fp,imp_v_fn,impT_n_tp,impT_n_fp,impT_n_fn,impT_v_tp,impT_v_fp,impT_v_fn
0xERR0R__blocky,syft,228,0,105,228,0,105,124,104,0,124,104,0,127,101,1,117,111,11
0xERR0R__blocky,trivy,193,0,140,193,0,140,124,69,0,124,69,0,127,66,1,117,76,11
0xERR0R__blocky,cdxgen,124,0,209,124,0,209,124,0,0,124,0,0,123,1,5,113,11,15
0xERR0R__blocky,cyclonedx-gomod,187,0,146,187,0,146,124,63,0,124,63,0,123,64,5,113,74,15
0xcafed00d__joystick,syft,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0
0xcafed00d__joystick,trivy,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0
0xcafed00d__joystick,cdxgen,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0
0xcafed00d__joystick,cyclonedx-gomod,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3,0
1set__cronrange,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1set__cronrange,trivy,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
1set__cronrange,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1set__cronrange,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1set__starlet,syft,23,13,1,23,15,1,11,25,0,11,27,0,11,25,1,9,29,3
1set__starlet,trivy,12,13,12,12,15,12,11,14,0,11,16,0,11,14,1,9,18,3
1set__starlet,cdxgen,12,10,12,12,12,12,11,11,0,11,13,0,11,11,1,9,15,3
1set__starlet,cyclonedx-gomod,11,0,13,11,0,13,11,0,0,11,0,0,11,0,1,9,2,3
1set__todotxt,syft,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1set__todotxt,trivy,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1set__todotxt,cdxgen,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1set__todotxt,cyclonedx-gomod,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2ykwang__mac-cleanup-go,syft,29,0,6,29,0,6,25,4,0,25,4,0,18,11,9,11,18,16
2ykwang__mac-cleanup-go,trivy,25,0,10,25,0,10,25,0,0,25,0,0,18,7,9,11,14,16
2ykwang__mac-cleanup-go,cdxgen,25,0,10,25,0,10,25,0,0,25,0,0,18,7,9,11,14,16
2ykwang__mac-cleanup-go,cyclonedx-gomod,25,0,10,25,0,10,25,0,0,25,0,0,18,7,9,11,14,16
32leaves__bel,syft,3,5,0,3,5,0,1,7,0,1,7,0,3,5,0,3,5,0
32leaves__bel,trivy,3,6,0,3,6,0,1,8,0,1,8,0,3,6,0,3,6,0
32leaves__bel,cdxgen,1,0,2,1,0,2,1,0,0,1,0,0,1,0,2,1,0,2
32leaves__bel,cyclonedx-gomod,1,0,2,1,0,2,1,0,0,1,0,0,1,0,2,1,0,2
42Atomys__webhooked,syft,48,0,133,48,0,133,26,22,0,26,22,0,26,22,10,10,38,26
42Atomys__webhooked,trivy,31,0,150,31,0,150,26,5,0,26,5,0,24,7,12,9,22,27
42Atomys__webhooked,cdxgen,26,0,155,26,0,155,26,0,0,26,0,0,21,5,15,7,19,29
42Atomys__webhooked,cyclonedx-gomod,27,0,154,27,0,154,26,1,0,26,1,0,21,6,15,7,20,29
