dario.cat/mergo	v1.0.2
filippo.io/edwards25519	v1.1.0
github.com/bahlo/generic-list-go	v0.2.0
github.com/buger/jsonparser	v1.1.1
github.com/cenkalti/backoff/v4	v4.3.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/containerd/errdefs	v1.0.0
github.com/containerd/errdefs/pkg	v0.3.0
github.com/containerd/log	v0.1.0
github.com/containerd/platforms	v0.2.1
github.com/cpuguy83/dockercfg	v0.3.2
github.com/davecgh/go-spew	v1.1.1
github.com/distribution/reference	v0.6.0
github.com/docker/docker	v28.5.2+incompatible
github.com/docker/go-connections	v0.6.0
github.com/docker/go-units	v0.5.0
github.com/dustin/go-humanize	v1.0.1
github.com/felixge/httpsnoop	v1.0.4
github.com/fsnotify/fsnotify	v1.9.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-sql-driver/mysql	v1.9.3
github.com/google/uuid	v1.6.0
github.com/invopop/jsonschema	v0.13.0
github.com/klauspost/compress	v1.18.2
github.com/lib/pq	v1.12.0
github.com/magiconair/properties	v1.8.10
github.com/mailru/easyjson	v0.7.7
github.com/mark3labs/mcp-go	v0.45.0
github.com/moby/docker-image-spec	v1.3.1
github.com/moby/go-archive	v0.2.0
github.com/moby/patternmatcher	v0.6.0
github.com/moby/sys/sequential	v0.6.0
github.com/moby/sys/user	v0.4.0
github.com/moby/sys/userns	v0.1.0
github.com/moby/term	v0.5.2
github.com/morikuni/aec	v1.0.0
github.com/opencontainers/go-digest	v1.0.0
github.com/opencontainers/image-spec	v1.1.1
github.com/pkg/errors	v0.9.1
github.com/pmezard/go-difflib	v1.0.0
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec
github.com/shirou/gopsutil/v4	v4.26.2
github.com/sirupsen/logrus	v1.9.3
github.com/spf13/cast	v1.7.1
github.com/spf13/cobra	v1.10.1
github.com/spf13/pflag	v1.0.9
github.com/stretchr/testify	v1.11.1
github.com/testcontainers/testcontainers-go	v0.41.0
github.com/tklauser/go-sysconf	v0.3.16
github.com/tklauser/numcpus	v0.11.0
github.com/wk8/go-ordered-map/v2	v2.1.8
github.com/yosida95/uritemplate/v3	v3.0.2
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp	v0.49.0
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
golang.org/x/crypto	v0.48.0
golang.org/x/sys	v0.42.0
golang.org/x/term	v0.40.0
gopkg.in/yaml.v3	v3.0.1
modernc.org/libc	v1.70.0
modernc.org/mathutil	v1.7.1
modernc.org/memory	v1.11.0
modernc.org/sqlite	v1.48.0
