github.com/boombuler/barcode	v1.0.1-0.20190219062509-6c824513bacc
github.com/confluentinc/go-editor	v0.11.0
github.com/davecgh/go-spew	v1.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/goccy/go-yaml	v1.19.0
github.com/mdp/qrterminal/v3	v3.2.1
github.com/pmezard/go-difflib	v1.0.0
github.com/pquerna/otp	v1.5.0
github.com/spf13/cobra	v1.9.1
github.com/spf13/pflag	v1.0.6
github.com/stretchr/testify	v1.10.0
golang.design/x/clipboard	v0.7.1
golang.org/x/sys	v0.39.0
golang.org/x/term	v0.38.0
gopkg.in/yaml.v3	v3.0.1
rsc.io/qr	v0.2.0
